Data;Combustivel;PostoId;Posto;Marca;TipoPosto;Morada;Municipio;Preco;DataAtualizacao;Latitude;Longitude
2026-09-21;Gasolina simples 95;65303;Gepoil - Soc. Gestora Postos Abast. Comb., Ldª;GALP;Outro;EN 108 Km 22,3;Gondomar;2,164;2026-09-17 15:40;41,12811;-8,56652
2026-09-21;Gasolina simples 95;67449;PRIO ERMESINDE Sta. Rita;PRIO;Outro;Avenida José Joaquim Ribeiro Teles, nº 280;Valongo;2,164;2026-09-21 00:00;41,20849;-8,54186
2026-09-21;Gasolina simples 95;93904;SHELL Alfena;SHELL;Outro;Rua S.Vicente 2700;Valongo;2,164;2026-09-21 00:50;41,235897;-8,525714
2026-09-21;Gasolina simples 95;66683;E.S. ERMESINDE;REPSOL;Outro;Rua Elias Garcia nº 460;Valongo;2,169;2026-09-21 00:00;41,220761;-8,558206
2026-09-21;Gasolina simples 95;66684;E.S. ERMESINDE A4;REPSOL;Outro;Av. Engº Duarte Pacheco nº 731;Valongo;2,169;2026-09-21 08:15;41,205322;-8,548553
2026-09-21;Gasolina simples 95;66702;E.S. RIO TINTO;REPSOL;Outro;Rua Fernão de Magalhães nº 431;Gondomar;2,169;2026-09-21 00:00;41,173102;-8,550333
2026-09-21;Gasolina simples 95;66722;E.S. GONDOMAR - S. COSME;REPSOL;Outro;Rua Dom João de França nº 9;Gondomar;2,169;2026-09-21 00:00;41,1291;-8,52393
2026-09-21;Gasolina simples 95;66729;REPSOL Rio Tinto II;REPSOL;Outro;Rua de Rebordões n.º 297;Gondomar;2,169;2026-09-21 08:15;41,18037;-8,568678
2026-09-21;Gasolina simples 95;69387;Nunes, Alves & Filhos, Lda;REPSOL;Outro;Rua São Vicente, 1194;Valongo;2,169;2026-09-21 00:00;41,225674;-8,530641
2026-09-21;Gasolina simples 95;93255;ALVES BANDEIRA Gondomar (São Pedro da Cova);ALVES BANDEIRA;Outro;Estrada D. Miguel, Lote 5A;Gondomar;2,169;2026-09-21 11:45;41,152486;-8,516297
2026-09-21;Gasolina simples 95;94631;ABSOLUTEFICAZ - COMBUSTÍVEIS, LDA (REPSOL-ERMESINDE-AV.JOÃO DE DEUS);REPSOL;Outro;AVENIDA JOÃO DE DEUS, LOTE A;Valongo;2,169;2026-09-21 09:15;41,20791;-8,55593
2026-09-21;Gasolina simples 95;65705;PRIO VALONGO;PRIO;Outro;EN 15 (Rua Conde Ferreira nº 22);Valongo;2,184;2026-09-21 02:05;41,18907;-8,5002
2026-09-21;Gasolina simples 95;67828;ALVES BANDEIRA Valongo;ALVES BANDEIRA;Outro;Rua Dom Pedro IV, 900;Valongo;2,189;2026-09-21 11:15;41,201315;-8,505475
2026-09-21;Gasolina simples 95;93583;ALVES BANDEIRA Alfena;ALVES BANDEIRA;Outro;Rua Dom Afonso Henriques, N.º 221;Valongo;2,189;2026-09-21 11:15;41,234573;-8,535571
2026-09-21;Gasolina simples 95;65302;Petrovaz - Revenda de Combustíveis a Granel, Lda.;GALP;Outro;Av. da Carvalha nº 267;Gondomar;2,199;2026-09-21 08:55;41,16353;-8,53864
2026-09-21;Gasolina simples 95;65304;David Santos e Moreira,lda;GALP;Outro;EN 108, Km 24,4 - Av.José Joaquim Ferreira, nº 5272;Gondomar;2,199;2026-09-21 10:55;41,05927;-8,39903
2026-09-21;Gasolina simples 95;65307;David Santos e Moreira,lda;GALP;Outro;EN 108, Km 25,100 - Av. José Joaquim Ferreira;Gondomar;2,199;2026-09-21 10:55;41,05921;-8,39877
2026-09-21;Gasolina simples 95;65308;GALP-  Gondomar;GALP;Outro;Av.General Humberto Delgado;Gondomar;2,199;2026-09-21 03:40;41,14706;-8,531529
2026-09-21;Gasolina simples 95;65310;Teixeira & Martins,lda;GALP;Outro;Rua Pedro Álvares Cabral;Gondomar;2,199;2026-09-21 07:55;41,17334;-8,554465
2026-09-21;Gasolina simples 95;65704;TFGest - Gestão e Comércio de Produtos Petrolíferos, Lda.;GALP;Outro;EN 105 Km 8,4;Valongo;2,199;2026-09-21 12:35;41,23792;-8,532845
2026-09-21;Gasolina simples 95;66065;BP Valongo;BP;Outro;Rua Central de Campo;Valongo;2,199;2026-09-21 08:55;41,182166;-8,464255
2026-09-21;Gasolina simples 95;65464;Chamauto  Murça;GALP;Outro;Saída do IP4;Murça;2,209;2026-09-21 10:25;41,401507;-7,446909
2026-09-21;Gasolina simples 95;65828;PA BP Alfena;BP;Outro;Rua 1º de Maio, 1770;Valongo;2,209;2026-09-21 00:00;41,241066;-8,525901
2026-09-21;Gasolina simples 95;66706;E.S. GONDOMAR;REPSOL;Outro;Rua Novais da Cunha nº 973;Gondomar;2,219;2026-09-21 00:00;41,1423;-8,54902
2026-09-21;Gasolina simples 95;66738;E.S. BROALHOS;REPSOL;Outro;Av. Central Broalhos nº 429;Gondomar;2,219;2026-09-21 00:00;41,0736;-8,45808
2026-09-21;Gasolina simples 95;66819;E.S. MURÇA;REPSOL;Outro;Variante à EN 15;Murça;2,219;2026-09-21 09:15;41,40636;-7,45023
2026-09-21;Gasolina simples 95;67803;BP Ermesinde;BP;Outro;Rua Jose Joaquim Ribeiro Teles;Valongo;2,219;2026-09-21 00:00;41,21409;-8,5501
2026-09-21;Gasolina simples 95;65922;BP FANZERES;BP;Outro;Av. da Carvalha;Gondomar;2,249;2026-09-21 00:05;41,165389;-8,544357
2026-09-21;Gasolina simples 95;91022;BP - JM - Alfena;BP;Outro;R. Nossa Senhora do Amparo;Valongo;2,249;2026-09-21 10:15;41,23401;-8,49311
2026-09-21;Gasolina simples 95;94702;BP Gondomar Estrada D. Miguel;BP;Outro;Estrada Dom Miguel;Gondomar;2,249;2026-09-21 00:00;41,137436;-8,518573
2026-09-21;GPL Auto;66683;E.S. ERMESINDE;REPSOL;Outro;Rua Elias Garcia nº 460;Valongo;0,929;2026-09-21 00:00;41,220761;-8,558206
2026-09-21;GPL Auto;69387;Nunes, Alves & Filhos, Lda;REPSOL;Outro;Rua São Vicente, 1194;Valongo;0,929;2026-09-21 00:00;41,225674;-8,530641
2026-09-21;GPL Auto;93528;PRIO Fânzeres;PRIO;Outro;Rua Dr. Severiano 130, Fânzeres;Gondomar;0,939;2026-09-21 00:35;41,160137;-8,53055
2026-09-21;GPL Auto;65308;GALP-  Gondomar;GALP;Outro;Av.General Humberto Delgado;Gondomar;0,944;2026-09-21 03:40;41,14706;-8,531529
2026-09-21;GPL Auto;66729;REPSOL Rio Tinto II;REPSOL;Outro;Rua de Rebordões n.º 297;Gondomar;0,949;2026-09-21 08:15;41,18037;-8,568678
2026-09-21;GPL Auto;66734;E.S. VALONGO;REPSOL;Outro;Rua Fonsecas Dias nº 291;Valongo;0,949;2026-09-21 09:25;41,1857638888889;-8,48685555555556
2026-09-21;GPL Auto;67449;PRIO ERMESINDE Sta. Rita;PRIO;Outro;Avenida José Joaquim Ribeiro Teles, nº 280;Valongo;0,979;2026-09-21 00:00;41,20849;-8,54186
2026-09-21;GPL Auto;66819;E.S. MURÇA;REPSOL;Outro;Variante à EN 15;Murça;1,009;2026-09-21 00:00;41,40636;-7,45023
2026-09-22;Gasolina simples 95;67262;AUCHAN Gondomar I;AUCHAN;Outro;Rua Exterior Circunvalação, 1730;Gondomar;2,049;2026-09-21 09:10;41,172474;-8,567009
2026-09-22;Gasolina simples 95;86645;INTERMARCHÉ ERMESINDE;INTERMARCHÉ;Outro;R. Gil Vicente, 75;Valongo;2,049;2026-09-21 09:15;41,21385;-8,55054
2026-09-22;Gasolina simples 95;76640;INTERMARCHÉ VALONGO;INTERMARCHÉ;Outro;Trav. António Augusto Castro Paupério, lote 36;Valongo;2,055;2026-09-21 20:00;41,18385;-8,4808
2026-09-22;Gasolina simples 95;93392;E. LECLERC VALONGO;LECLERC;Outro;ELECLERC;Valongo;2,065;2026-09-21 06:00;41,196873;-8,510386
2026-09-22;Gasolina simples 95;80564;Distrijovim - Supermercados Lda - PA Intermarché Jovim;INTERMARCHÉ;Outro;Rua das Broas nº 40;Gondomar;2,079;2026-09-22 07:00;41,11732;-8,509337
2026-09-22;Gasolina simples 95;93273;PRIO Gondomar;PRIO;Outro;Rua Nossa Sra de Fatima, n.2;Gondomar;2,104;2026-09-22 00:30;41,143928;-8,537891
2026-09-22;Gasolina simples 95;77494;TF GEST - JOVIM;FREITAS;Outro;Rua D. Miguel, EM 614;Gondomar;2,119;2026-09-22 00:05;41,10776;-8,50938
2026-09-22;Gasolina simples 95;69110;Errmesinde (Av. 5 Outubro);Genérico;Outro;RUA 5 DE OUTUBRO;Valongo;2,123;2026-09-21 00:00;41,21902;-8,545499
